콘텐츠ID,콘텐츠명_IPS,콘텐츠명_판매채널조회,콘텐츠형태,귀속법인,서비스유형,작가필명,등급,장르,세부장르,담당부서,담당자명,판매채널콘텐츠_전체,지급정산관리_존재_채널수,정산정보없음_채널수,사용안함_채널수,콘텐츠단위_rename_위험,권장조치
112571,도종,도종,소설,키다리스튜디오,단행본,"백창렬,사마달,사마달 백창렬 저,사마달, 백창렬",비성인,남성향,무협,소설편집팀,이선근,9,7,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
112824,리턴 오브 에이스,리턴 오브 에이스,소설,키다리스튜디오,단행본,예로나,비성인,남성향,판타지,소설편집팀,이선근,21,20,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
112828,마(魔),마(魔),소설,키다리스튜디오,단행본,강태산,비성인,,무협,소설편집팀,이선근,10,8,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
112850,마라밀종,마라밀종,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,6,5,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
112866,마수(魔手),마수(魔手),소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
113018,모용세가 역대급 천재의 귀환,모용세가 역대급 천재의 귀환,소설,키다리스튜디오,단행본,독성,비성인,남성향,판타지,소설편집팀,이선근,19,18,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
113047,몽유강호,몽유강호,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,7,6,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
113149,묵룡혈마(무삭제판),묵룡혈마(무삭제판),소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,10,9,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
113150,묵혈랑,묵혈랑,소설,키다리스튜디오,단행본,"강태산,와룡강",비성인,남성향,무협,소설편집팀,이선근,7,6,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
113370,벽력무진(霹靂無盡),벽력무진(霹靂無盡),소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,6,5,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
113543,비정혈(무삭제판),비정혈(무삭제판),소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,11,10,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
113716,사자성,사자성,소설,키다리스튜디오,단행본,강태산,비성인,,무협,소설편집팀,이선근,9,8,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
113906,소(笑),소(笑),소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,8,6,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
113923,소뢰아,소뢰아,소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,18,6,12,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114000,수라문,수라문,소설,키다리스튜디오,단행본,"강태산,사의천,와룡강",비성인,남성향,무협,소설편집팀,이선근,9,8,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114119,신(神),신(神),소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,4,3,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114122,신[神] (무삭제판),신[神] (무삭제판),소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,4,3,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114138,신마열전,신마열전,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114308,惡魔,惡魔,소설,키다리스튜디오,단행본,안회남,비성인,,일반서,소설편집팀,이선근,10,1,9,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114370,애검몽,애검몽,소설,키다리스튜디오,단행본,강태산,성인,남성향,"성인물,무협",소설편집팀,이선근,19,10,9,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114404,야랑전,야랑전,소설,키다리스튜디오,단행본,강태산,비성인,,무협,소설편집팀,이선근,7,6,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114705,옥면호리,옥면호리,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,6,5,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114756,요마겁,요마겁,소설,키다리스튜디오,단행본,강태산,성인,남성향,"성인물,무협",소설편집팀,이선근,14,9,5,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114757,요절복통,요절복통,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114777,용등사해,용등사해,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,8,6,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
114868,월영마제,월영마제,소설,키다리스튜디오,단행본,강태산,비성인,,무협,소설편집팀,이선근,8,6,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
115241,쟁패천하,쟁패천하,소설,키다리스튜디오,단행본,강태산,비성인,,무협,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
115260,적혈룡,적혈룡,소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
115569,천년대하,천년대하,소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
115592,천마대전,천마대전,소설,키다리스튜디오,단행본,강태산,성인,,성인물,소설편집팀,이선근,11,10,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
115669,철검무정,철검무정,소설,키다리스튜디오,단행본,"검궁인,서효원,장경",비성인,남성향,무협,소설편집팀,이선근,20,19,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
115680,철정무한,철정무한,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
115683,철혈뇌격,철혈뇌격,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
115818,칠뢰진천,칠뢰진천,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,7,6,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116020,팔왕난,팔왕난,소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,9,8,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116111,폼생폼사,폼생폼사,소설,키다리스튜디오,단행본,강태산,비성인,,무협,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116321,혈야,혈야,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,8,6,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116338,협기만장,협기만장,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116342,호감 받고 성공 더!,호감 받고 성공 더!,소설,키다리스튜디오,단행본,인기영,비성인,남성향,판타지,소설편집팀,이선근,32,31,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116343,호걸선풍,호걸선풍,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,9,7,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116350,호협천추,호협천추,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,24,3,21,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116351,호화대협 1부,호화대협 1부,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,9,8,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116352,호화대협 2부,호화대협 2부,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,7,6,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116357,혼비백산,혼비백산,소설,키다리스튜디오,단행본,강태산,비성인,남성향,무협,소설편집팀,이선근,21,3,18,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116390,화신,화신,소설,키다리스튜디오,단행본,강태산,비성인,,무협,소설편집팀,이선근,10,9,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116391,화왕세기,화왕세기,소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,5,3,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116394,화왕세기[무삭제판] 합본,화왕세기[무삭제판] 합본,소설,키다리스튜디오,합본,강태산,성인,남성향,성인물,소설편집팀,이선근,2,1,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
116470,회귀한 아포칼립스의 폭군,회귀한 아포칼립스의 폭군,소설,키다리스튜디오,단행본,이형석,비성인,남성향,판타지,소설편집팀,이선근,20,19,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
119603,슈가 트랩,슈가 트랩,소설,키다리스튜디오,,현지하,성인,여성향,BL,봄툰소설편집팀,허은지,18,17,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
149473,이웃집 남자,이웃집 남자,소설,키다리스튜디오,연재,"2RE,리수,윤이수",성인,여성향,BL,패밀리케어팀,남단미,2,1,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
157479,광무록 제,광무록 제,소설,키다리스튜디오,단행본,검궁인,비성인,,일반서,소설편집팀,이선근,2,1,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
160106,천부선공,천부선공,소설,키다리스튜디오,,조성도,비성인,남성향,판타지,소설편집팀,이선근,9,5,4,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
160117,다크리스,다크리스,소설,키다리스튜디오,,박천웅,비성인,남성향,판타지,소설편집팀,이선근,4,3,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
160125,임페리얼,임페리얼,소설,키다리스튜디오,,최문식,비성인,남성향,판타지,소설편집팀,이선근,7,6,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
160126,무적 영웅 대륙을 가르다,무적 영웅 대륙을 가르다,소설,키다리스튜디오,,홀로선별,비성인,남성향,판타지,소설편집팀,이선근,15,8,7,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
