콘텐츠ID,변경전콘텐츠명,변경후콘텐츠명,candidate_원본콘텐츠명,변경여부,처리사유,콘텐츠형태,담당부서,담당자명
160340,新채이와배우사이,[정산정보없음]_新채이와배우사이,新채이와배우사이,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160341,신채이와배우사이,[정산정보없음]_신채이와배우사이,신채이와배우사이,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160342,문득,[정산정보없음]_문득,문득,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160346,운명을거부하는여자,[정산정보없음]_운명을거부하는여자,운명을거부하는여자,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160347,LUST,[정산정보없음]_LUST,LUST,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160354,이시대의민며느리,[정산정보없음]_이시대의민며느리,이시대의민며느리,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160355,우울증여자결벽증남자,[정산정보없음]_우울증여자결벽증남자,우울증여자결벽증남자,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160362,몸으로우는소쩍새,[정산정보없음]_몸으로우는소쩍새,몸으로우는소쩍새,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=4; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160366,얼룩진자리,[정산정보없음]_얼룩진자리,얼룩진자리,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160384,러브바이러스,[정산정보없음]_러브바이러스,러브바이러스,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160387,만약에,[정산정보없음]_만약에,만약에,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160388,글로리하우스의뒷담화,[정산정보없음]_글로리하우스의뒷담화,글로리하우스의뒷담화,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160396,조선명탐정정약용-밀행,[정산정보없음]_조선명탐정정약용-밀행,조선명탐정정약용-밀행,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=5; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160397,섹스공화국,[정산정보없음]_섹스공화국,섹스공화국,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160398,유전자의절규:제4회아이작가S문학공모당선작,[정산정보없음]_유전자의절규:제4회아이작가S문학공모당선작,유전자의절규:제4회아이작가S문학공모당선작,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160426,내애인은9금,[정산정보없음]_내애인은9금,내애인은9금,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160434,신나는자동차마을,[정산정보없음]_신나는자동차마을,신나는자동차마을,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160435,꼴찌초록이,[정산정보없음]_꼴찌초록이,꼴찌초록이,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160436,고양이수프,[정산정보없음]_고양이수프,고양이수프,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160437,꽃씨를심는우체부,[정산정보없음]_꽃씨를심는우체부,꽃씨를심는우체부,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160438,꿈꾸는갈색곰,[정산정보없음]_꿈꾸는갈색곰,꿈꾸는갈색곰,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160439,모델이된키다리공주,[정산정보없음]_모델이된키다리공주,모델이된키다리공주,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160440,별님반개미선생님,[정산정보없음]_별님반개미선생님,별님반개미선생님,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160442,정략결혼부,[정산정보없음]_정략결혼부,정략결혼부,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160463,호빠에갔다,[정산정보없음]_호빠에갔다,호빠에갔다,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160469,미친남편,[정산정보없음]_미친남편,미친남편,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160492,사모님과마사지알바생,[정산정보없음]_사모님과마사지알바생,사모님과마사지알바생,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160497,사장님의아내와,[정산정보없음]_사장님의아내와,사장님의아내와,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160507,아내의엄마,[정산정보없음]_아내의엄마,아내의엄마,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160510,나쁜며느리,[정산정보없음]_나쁜며느리,나쁜며느리,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160513,모녀의외도,[정산정보없음]_모녀의외도,모녀의외도,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
295552,사자애(使者愛) [단행본],[정산정보없음]_사자애(使者愛) [단행본],사자애(使者愛) [단행본],Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
295558,열망의 시작,[정산정보없음]_열망의 시작,열망의 시작,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
110587,0_드래곤 엔터테인먼트_지미신_일반,[정산정보없음]_0_드래곤 엔터테인먼트_지미신_일반,0_드래곤 엔터테인먼트_지미신_일반,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설사업부; 담당자=김정원,소설,소설사업부,김정원
295496,아사벼리 - 이지환  로맨스소설 [완결],[정산정보없음]_아사벼리 - 이지환  로맨스소설 [완결],아사벼리 - 이지환  로맨스소설 [완결],Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설사업부; 담당자=김정원,소설,소설사업부,김정원
295514,도토리나라의다람은행(New2013재능동화46은행원),[정산정보없음]_도토리나라의다람은행(New2013재능동화46은행원),도토리나라의다람은행(New2013재능동화46은행원),Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설사업부; 담당자=김정원,소설,소설사업부,김정원
295517,빙애,[정산정보없음]_빙애,빙애,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설사업부; 담당자=김정원,소설,소설사업부,김정원
295521,얼음공주루나(New2013재능동화23피겨스케이터),[정산정보없음]_얼음공주루나(New2013재능동화23피겨스케이터),얼음공주루나(New2013재능동화23피겨스케이터),Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설사업부; 담당자=김정원,소설,소설사업부,김정원
295525,제2회S문학공모수상작-오난희,[정산정보없음]_제2회S문학공모수상작-오난희,제2회S문학공모수상작-오난희,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설사업부; 담당자=김정원,소설,소설사업부,김정원
108369,[세트] 가짜 성녀에게 죽음을,[정산정보없음]_[세트] 가짜 성녀에게 죽음을,[세트] 가짜 성녀에게 죽음을,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설유통팀; 담당자=권소현,소설,소설유통팀,권소현
109355,[연재] 가짜 성녀에게 죽음을,[정산정보없음]_[연재] 가짜 성녀에게 죽음을,[연재] 가짜 성녀에게 죽음을,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=4; 담당부서=소설유통팀; 담당자=권소현,소설,소설유통팀,권소현
113026,모형정원의 나비 세트,[정산정보없음]_모형정원의 나비 세트,모형정원의 나비 세트,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설유통팀; 담당자=권소현,소설,소설유통팀,권소현
115983,트윈 가이드 (유통),[정산정보없음]_트윈 가이드 (유통),트윈 가이드 (유통),Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설유통팀; 담당자=권소현,소설,소설유통팀,권소현
118092,연애담,[정산정보없음]_연애담,연애담,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=6; 담당부서=소설유통팀; 담당자=권소현,소설,소설유통팀,권소현
139013,그 사랑에 이의있다,[정산정보없음]_그 사랑에 이의있다,그 사랑에 이의있다,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=3; 담당부서=소설유통팀; 담당자=권소현,소설,소설유통팀,권소현
295607,대륙의검,[정산정보없음]_대륙의검,대륙의검,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설유통팀; 담당자=김성경,소설,소설유통팀,김성경
295626,까마귀 우는 밤에,[정산정보없음]_까마귀 우는 밤에,까마귀 우는 밤에,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설유통팀; 담당자=김성경,소설,소설유통팀,김성경
306160,40대 다시한번 공부에 미쳐라,[정산정보없음]_40대 다시한번 공부에 미쳐라,40대 다시한번 공부에 미쳐라,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설유통팀; 담당자=김성경,소설,소설유통팀,김성경
306163,이환경 대하역사소설 - 태조 왕건,[정산정보없음]_이환경 대하역사소설 - 태조 왕건,이환경 대하역사소설 - 태조 왕건,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설유통팀; 담당자=김성경,소설,소설유통팀,김성경
311369,찰나와 영겁의 사랑,[정산정보없음]_찰나와 영겁의 사랑,찰나와 영겁의 사랑,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=3; 담당부서=소설유통팀; 담당자=김성경,소설,소설유통팀,김성경
311602,당신의 뜻대로 하소서,[정산정보없음]_당신의 뜻대로 하소서,당신의 뜻대로 하소서,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=3; 담당부서=소설유통팀; 담당자=김성경,소설,소설유통팀,김성경
