순수판정,조치,플랫폼,S2판매채널명,판매채널콘텐츠ID,판매채널ID,콘텐츠ID,콘텐츠명,콘텐츠형태,판매채널명,사용안함_사용금지_표식,지급정산관리_존재,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,IPS_존재,콘텐츠명_IPS,담당부서,담당자명,장르,세부장르,원본파일,판매채널콘텐츠ID_빈값,지급정산관리_지급정산상태,지급정산관리_승인상태,귀속법인,서비스유형,작가필명,등급
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488798,87,247101,신기한세상재미난이야기-남극탐험,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-남극탐험,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488799,87,247102,신기한세상재미난이야기-동화이야기,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-동화이야기,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488800,87,247103,신기한세상재미난이야기-맛있는식탁,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-맛있는식탁,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488801,87,247104,신기한세상재미난이야기-브랜드이야기,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-브랜드이야기,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488802,87,247105,신기한세상재미난이야기-스포츠이야기,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-스포츠이야기,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488803,87,247106,신기한세상재미난이야기-신기한세계풍속,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-신기한세계풍속,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487102,87,246343,신기한세상재미난이야기-역사속의실패담,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-역사속의실패담,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488804,87,247107,신기한세상재미난이야기-월드컵이야기,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-월드컵이야기,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488805,87,247108,신기한세상재미난이야기-이것이세계최초!,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-이것이세계최초!,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487103,87,246344,신기한세상재미난이야기-자동차이야기,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-자동차이야기,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488806,87,247109,신기한세상재미난이야기-진기한발명,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-진기한발명,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487104,87,246345,신기한세상재미난이야기-초콜릿과아이스크림,소설,교보문고(소설),N,N,,,,Y,신기한세상재미난이야기-초콜릿과아이스크림,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
