file,relative_path,platform,file_size,extension,read_status,creator,last_modified_by,created,modified,modified_after_created_minutes,revision,application,total_time_minutes,sheet_count,hidden_sheets,very_hidden_sheets,sheet_names,used_ranges,formula_cells,array_formula_cells,merged_cells,comments_parts,hyperlinks,external_links,connections,query_tables,pivot_tables,tables,drawings,charts,images,sheet_protections,workbook_protection,auto_filters,data_validations,conditional_formats,defined_names,calc_mode,full_calc_on_load,force_full_calc,custom_properties,vba_project,touch_indicators,suspicion_score,suspicion_level
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\알라딘\2월\2026년 2월 알라딘 정산상세.xlsx,알라딘\2월\2026년 2월 알라딘 정산상세.xlsx,알라딘,171261,.xlsx,ok,,임 재경(KSTD),2026-03-02T23:57:46Z,2026-03-02T23:58:04Z,0.3,,Microsoft Excel,,1,0,0,sales_18156_202602,sheet1.xml:A1:N1772,3542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,수식셀 3542,2,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\에이블리\2월\2026년 2월 에이블리 정산상세.xlsx,에이블리\2월\2026년 2월 에이블리 정산상세.xlsx,에이블리,84543,.xlsx,ok,,임 재경(KSTD),2026-03-04T03:33:31Z,2026-03-04T03:33:31Z,0.0,,Microsoft Excel,,1,0,0,202602_에이블리_키다리스튜디오(소설),sheet1.xml:A1:X785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\에피루스\2월\2026년 2월 에피루스 정산상세.xlsx,에피루스\2월\2026년 2월 에피루스 정산상세.xlsx,에피루스,32683,.xlsx,ok,user,User,2026-03-20T06:11:25Z,2026-03-23T00:15:46Z,3964.35,,Microsoft Excel,,1,0,0,2026년02월정산내역_키다리스튜디오,sheet1.xml:A1:I466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,작성자와 최종수정자 다름(user -> User) | 생성 후 2.8일 뒤 저장 | 수식셀 1,10,high
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\예스24\2월\2026월 2월 예스24 정산상세.xlsx,예스24\2월\2026월 2월 예스24 정산상세.xlsx,예스24,166314,.xlsx,ok,Apache POI,임 재경(KSTD),2026-03-03T07:29:22Z,2026-03-03T07:32:38Z,3.27,,Microsoft Excel,,1,0,0,Sheet1,sheet1.xml:A1:V1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,작성자와 최종수정자 다름(Apache POI -> 임 재경(KSTD)),4,medium
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\올툰\2월\2026년 2월 올툰 정산상세.xlsx,올툰\2월\2026년 2월 올툰 정산상세.xlsx,올툰,15127,.xlsx,ok,김성아,김 성아,2024-04-02T04:19:22Z,2026-03-03T06:25:42Z,1008126.33,,Microsoft Excel,,1,0,0,시트1,sheet1.xml:A1:J70,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,작성자와 최종수정자 다름(김성아 -> 김 성아) | 생성 후 700.1일 뒤 저장 | 수식셀 6,10,high
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\원스토어\2월\2026년 2월 원스토어 정산상세.xlsx,원스토어\2월\2026년 2월 원스토어 정산상세.xlsx,원스토어,3228715,.xlsx,ok,Apache POI,User,2026-03-20T01:46:37Z,2026-03-23T00:11:32Z,4224.92,,Microsoft Excel,,1,0,0,multimedia,sheet1.xml:A1:AN19609,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,작성자와 최종수정자 다름(Apache POI -> User) | 생성 후 2.9일 뒤 저장,8,high
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\윌라\2월\2026년 2월 윌라 정산상세.xlsx,윌라\2월\2026년 2월 윌라 정산상세.xlsx,윌라,89473,.xlsx,ok,openpyxl,User,2026-03-18T02:07:53Z,2026-03-23T01:30:39Z,7162.77,,Microsoft Excel,,2,0,0,sheet | 콘텐츠 가격 변동 이력,sheet1.xml:A1:P885 | sheet2.xml:A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,작성자와 최종수정자 다름(openpyxl -> User) | 생성 후 5.0일 뒤 저장,8,high
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\조아라\2월\로맨스\2026년 2월 조아라 로맨스 단행본 정산상세.xlsx,조아라\2월\로맨스\2026년 2월 조아라 로맨스 단행본 정산상세.xlsx,조아라,10369,.xlsx,ok,User,User,2026-03-03T05:51:54Z,2026-03-03T05:51:54Z,0.0,,Microsoft Excel,,1,0,0,작품별 정산리스트_2026-2,sheet1.xml:A1:F9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\조아라\2월\로맨스\2026년 2월 조아라 로맨스 정산상세.xlsx,조아라\2월\로맨스\2026년 2월 조아라 로맨스 정산상세.xlsx,조아라,15031,.xlsx,ok,User,User,2026-03-03T05:51:19Z,2026-03-03T05:51:19Z,0.0,,Microsoft Excel,,1,0,0,작품별 정산리스트_2026-2,sheet1.xml:A1:H74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\조아라\2월\판무\2026년 2월 조아라 판무 단행본 정산상세.xlsx,조아라\2월\판무\2026년 2월 조아라 판무 단행본 정산상세.xlsx,조아라,11199,.xlsx,ok,User,User,2026-03-03T05:46:47Z,2026-03-03T05:46:47Z,0.0,,Microsoft Excel,,1,0,0,작품별 정산리스트_2026-2,sheet1.xml:A1:F25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
