판정등급,조치,플랫폼,S2판매채널명,S2판매채널ID,거래처코드,거래처명,판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제키,판매채널콘텐츠_콘텐츠형태,지급정산관리_존재,정산서샘플_등장,사용안함_사용금지_표식,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,정산서샘플_등장파일
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,115238,114577,[사용안함]_연기를 너무 잘함_승윤,연기를너무잘함승윤,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,673035,108060,[사용안함]_외도 전설 -마법소녀 조교기-_외도정사,외도전설마법소녀조교기외도정사,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,715609,114911,[사용안함]_유산 받아 레벨 업!_북홀릭,유산받아레벨업북홀릭,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,675307,112351,[사용안함]_인간 자체가 강함_박신우,인간자체가강함박신우,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,115917,115236,[사용안함]_재벌가 차남은 먼치킨_말리브해적,재벌가차남은먼치킨말리브해적,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,489194,247292,[사용안함]_전설 속 검신의 재림_김조선,전설속검신의재림김조선,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109859,109339,[사용안함]_절망하고 복종하라_베노맨서,절망하고복종하라베노맨서,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,489189,247287,[사용안함]_중력술사 아스께끼맨_테서스,중력술사아스께끼맨테서스,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,718232,115536,[사용안함]_창업의 신_정현우,창업의신정현우,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108574,108061,[사용안함]_친구 엄마와 친구 먹기_미도파,친구엄마와친구먹기미도파,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109860,109340,[사용안함]_코드네임 사신_준강,코드네임사신준강,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108558,108045,[사용안함]_코인 무한 능력으로 BJ 따먹기_용병애쉬,코인무한능력으로bj따먹기용병애쉬,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,681778,247395,[사용안함]_코인게이트를열었다_용병애쉬,코인게이트를열었다용병애쉬,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109861,109341,[사용안함]_쾌락노예_용병애쉬,쾌락노예용병애쉬,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,879425,107844,[사용안함]_파멸욕구의 마조녀는 타락하고 싶다_푸른산붉은꽃,파멸욕구의마조녀는타락하고싶다푸른산붉은꽃,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,673049,108062,[사용안함]_패배 용사 - 약골 용사의 에로 대모험!_외도정사,패배용사약골용사의에로대모험외도정사,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109862,109342,"[사용안함]_퐁퐁의 역습_테서스,프로무림",퐁퐁의역습테서스프로무림,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108559,108046,[사용안함]_플라스틱 먹고 살면 생활비 0원_테서스,플라스틱먹고살면생활비원테서스,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109863,109343,[사용안함]_하렘으로 세계정복_용병애쉬,하렘으로세계정복용병애쉬,소설,N,N,Y,,,,
