정제키,채널수,총행수,대표세부판단유형,세부판단유형목록,콘텐츠마스터_fuzzy_overlay,판매채널목록,원문예시,대표근거
음공천하,4,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,교보문고(소설) | 구글(소설) | 무툰(소설 서비스) | 미스터블루(소설),음공천하 | 음공천하 1권 | 음공천하,312022::[카카오]음공천하 단행본::소설유통팀::김성경 || 110854::0_음공천하_서호_일반::소설편집팀::조원재 || 312022::[카카오]음공천하 단행본::소설유통팀::김성경 || 110854::0_음공천하_서호_일반::소설편집팀::조원재 || 312022::[카카오]음공천하 단행본::소설유통팀::김성경 || 110854::0_음공천하_서호_일반::소설편집팀::조원재
인더프라이빗룸,4,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,네이버_연재 | 네이버_장르 | 에피루스 이북클럽(B2C) | 큐툰(소설 서비스),인 더 프라이빗 룸 [BL] | 인 더 프라이빗 룸 [BL][단행본] | 인 더 프라이빗 룸(In The Private Room) 6(완결),325566::[봄툰e북]인 더 프라이빗 룸 (In The Private Room)::봄툰소설편집팀::배지은 || 115085::인 더 프라이빗 룸(In The Private Room) 외전2::봄툰소설편집팀::배지은 || 115084::인 더 프라이빗 룸(In The Private Room) 외전1::봄툰소설편집팀::배지은 || 115082::인 더 프라이빗 룸(In The Private Room) 세트 (외전 포함)::봄툰소설편집팀::배지은 || 108310::[봄툰] 인 더 프라이빗 룸(In the private room)::봄툰소설편집팀::배지은 || 325566::[봄툰e북]인 더 프라이빗 룸 (In The Private Room)::봄툰소설편집팀::배지은 || 115085::인 더 프라이빗 룸(In The Private Room) 외전2::봄툰소설편집팀::배지은 || 115084::인 더 프라이빗 룸(In The Private Room) 외전1::봄툰소설편집팀::배지은 || 115082::인 더 프라이빗 룸(In The Private Room) 세트 (외전 포함)::봄툰소설편집팀::배지은 || 108310::[봄툰] 인 더 프라이빗 룸(In the private room)::봄툰소설편집팀::배지은 || 325566::[봄툰e북]인 더 프라이빗 룸 (In The Private Room)::봄툰소설편집팀::배지은 || 115085::인 더 프라이빗 룸(In The Private Room) 외전2::봄툰소설편집팀::배지은 || 115084::인 더 프라이빗 룸(In The Private Room) 외전1::봄툰소설편집팀::배지은 || 115082::인 더 프라이빗 룸(In The Private Room) 세트 (외전 포함)::봄툰소설편집팀::배지은 || 108310::[봄툰] 인
태양천자,3,4,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(3) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설) | 웹소설 하이북 | 한아름(P000003716),태양천자 | 태양천자 [단행본] | 태양천자,A_정산서등장_정산정보없음::220166::115944::태양천자 || A_정산서등장_정산정보없음::220161::115944::태양천자 || B_잠재오염_정산정보없음::220164::115944::태양천자
팔왕예조,2,4,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(3) | 같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,웹소설 하이북 | 판무림,팔왕예조 | 팔왕예조,B_잠재오염_정산정보없음::220510::116022::팔왕예조 || A_정산서등장_정산정보없음::220509::116022::팔왕예조
rpg시티,1,3,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(3),,카카오페이지(선투자),RPG시티[완결],A_정산서등장_정산정보없음::589754::295582::RPG시티[완결]
구룡겁,3,3,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(2) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,무툰(소설 서비스) | 웹소설 하이북 | 판무림,구룡겁 | 구룡겁 | 구룡겁,A_정산서등장_정산정보없음::192469::111572::구룡겁 || A_정산서등장_정산정보없음::192473::111572::구룡겁 || B_잠재오염_정산정보없음::192474::111572::구룡겁
마법배운재벌집늦둥이,3,3,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(3),,구글(소설) | 네이버_장르 | 알라딘(소설)(1068659313),마법 배운 재벌집 늦둥이 1권 | 마법 배운 재벌집 늦둥이 [단행본] | 마법 배운 재벌집 늦둥이 01,카카오페이지(선투자)::112857 || 노벨피아 (소설)::112857 || 모픽(mofic)::112857 || 에이블리(소설)::112857 || 미스터블루(소설)::112857 || 카카오페이지(선투자)::112857 || 노벨피아 (소설)::112857 || 모픽(mofic)::112857 || 에이블리(소설)::112857 || 미스터블루(소설)::112857 || 카카오페이지(선투자)::112857 || 노벨피아 (소설)::112857 || 모픽(mofic)::112857 || 에이블리(소설)::112857 || 미스터블루(소설)::112857
메소드로맨스웹툰출간기념수인메소드비스트로맨스,2,3,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(3)",,리디북스(소설) | 알라딘(소설)(1068659313),[BL] 메소드 로맨스 (개정판) 웹툰 출간 기념 수인 외전: 메소드 비스트 로맨스 | [e북]개정판 | 메소드 로맨스 웹툰 출간 기념 수인 외전 : 메소드 비스트 로맨스,
백치공주시리즈,1,3,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(3),,카카오페이지(소설),백치 공주 시리즈,A_정산서등장_정산정보없음::186235::110596::[카카오] 백치 공주 시리즈
색마님안마하신다,1,3,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(3),,교보문고(소설),색마님 안마하신다 | 색마님 안마하신다.2 | 색마님 안마하신다.3,구글(소설)::107809 || 밀리의 서재::107809 || 판무림::107809 || 스낵북(알에스)::107809 || 윌라(전자책)::107809
