세부판단유형,원판단유형,판매채널,정제키,행수,원문예시,같은채널_판매채널콘텐츠_근거,콘텐츠마스터_근거,타채널_지급정산_근거,기존대표근거,권고
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,판무림,골때리는엄마들,9,골 때리는 엄마들,,303876::[CP웹툰] 골 때리는 엄마들::IP프로듀싱팀::노종아,리디북스(이벤트)::109322 || 네이버_장르(광고수익)::109322 || 알라딘(소설)(1068659313)::109322 || 블라이스 셀렉트::109322 || 리디북스(소설)::109322,리디북스(이벤트)::골 때리는 엄마들::109322 || 네이버_장르(광고수익)::골 때리는 엄마들::109322 || 알라딘(소설)(1068659313)::골 때리는 엄마들::109322 || 블라이스 셀렉트::골 때리는 엄마들::109322 || 리디북스(소설)::골 때리는 엄마들::109322,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,밀리의 서재,사이코패스살인마는살고싶다,8,사이코패스 살인마는 살고 싶다,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,카카오페이지(선투자),연봉조신입사원,8,연봉 1조 신입사원,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,교보문고(소설),아이돌매니저가변태사진사임,8,아이돌 매니저가 변태 사진사임 2권 | 아이돌 매니저가 변태 사진사임 3권 | 아이돌 매니저가 변태 사진사임 4권 | 아이돌 매니저가 변태 사진사임 5권 | 아이돌 매니저가 변태 사진사임 6권 | 아이돌 매니저가 변태 사진사임 7권,,,밀리의 서재::247090 || 한아름(P000003716)::247090 || 구글(소설)::247090 || 미스터블루(소설)::247090 || 네이버_장르::247090,밀리의 서재::아이돌 매니저가 변태 사진사임::247090 || 한아름(P000003716)::아이돌 매니저가 변태 사진사임::247090 || 구글(소설)::아이돌 매니저가 변태 사진사임::247090 || 미스터블루(소설)::아이돌 매니저가 변태 사진사임::247090 || 네이버_장르::아이돌 매니저가 변태 사진사임::247090,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,구글(소설),ts에로게임탈출기,8,TS 에로 게임 탈출기 1권,,,밀리의 서재::107778 || 스낵북(알에스)::107778 || 블라이스_일반결제::107778 || 북큐브(소설)::107778 || 미소설::107778,밀리의 서재::TS 에로 게임 탈출기::107778 || 스낵북(알에스)::TS 에로 게임 탈출기::107778 || 블라이스_일반결제::TS 에로 게임 탈출기::107778 || 북큐브(소설)::TS 에로 게임 탈출기::107778 || 미소설::TS 에로 게임 탈출기::107778,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,부커스,sss급괴물사냥꾼,8,SSS급 괴물 사냥꾼 2권 | SSS급 괴물 사냥꾼 1권 | SSS급 괴물 사냥꾼 8권 | SSS급 괴물 사냥꾼 6권 | SSS급 괴물 사냥꾼 5권 | SSS급 괴물 사냥꾼 4권,,,카카오페이지(선투자)::110995 || 카카오페이지(창작지원금)::110995,카카오페이지(선투자)::SSS급 괴물 사냥꾼::110995 || 카카오페이지(창작지원금)::SSS급 괴물 사냥꾼::110995,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,교보문고(소설),소림대협,7,소림대협 1 | 소림대협 2 | 소림대협 3 | 소림대협 4 | 소림대협 5 | 소림대협 6,B_잠재오염_정산정보없음::488196::160162::소림대협,160162::[정산정보없음]_소림대협::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),무유지,7,무유지,B_잠재오염_정산정보없음::488009::160166::무유지,160166::[정산정보없음]_무유지::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,구글(소설),망한세상에서나혼자각성,7,망한 세상에서 나 혼자 각성 1권 | 망한 세상에서 나 혼자 각성 2권 | 망한 세상에서 나 혼자 각성 3권 | 망한 세상에서 나 혼자 각성 4권 | 망한 세상에서 나 혼자 각성 5권 | 망한 세상에서 나 혼자 각성 6권,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,Yes24(서점),아내와나의네토라세,7,아내와 나의 네토라세 01권 | 아내와 나의 네토라세 02권 | 아내와 나의 네토라세 03권 | 아내와 나의 네토라세 04권 | 아내와 나의 네토라세 05권 (완결),,,스낵북(알에스)::107818 || 구글(소설)::107818 || 알라딘(소설)(1068659313)::107818 || 블라이스 셀렉트::107818 || 교보문고(소설)::107818,스낵북(알에스)::아내와 나의 네토라세::107818 || 구글(소설)::아내와 나의 네토라세::107818 || 알라딘(소설)(1068659313)::아내와 나의 네토라세::107818 || 블라이스 셀렉트::아내와 나의 네토라세::107818 || 교보문고(소설)::아내와 나의 네토라세::107818,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,밀리의 서재,골때리는엄마들,7,골 때리는 엄마들,,303876::[CP웹툰] 골 때리는 엄마들::IP프로듀싱팀::노종아,리디북스(이벤트)::109322 || 네이버_장르(광고수익)::109322 || 알라딘(소설)(1068659313)::109322 || 블라이스 셀렉트::109322 || 리디북스(소설)::109322,리디북스(이벤트)::골 때리는 엄마들::109322 || 네이버_장르(광고수익)::골 때리는 엄마들::109322 || 알라딘(소설)(1068659313)::골 때리는 엄마들::109322 || 블라이스 셀렉트::골 때리는 엄마들::109322 || 리디북스(소설)::골 때리는 엄마들::109322,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,에이블리(소설),sss급괴물사냥꾼,7,SSS급 괴물 사냥꾼,,,카카오페이지(선투자)::110995 || 카카오페이지(창작지원금)::110995,카카오페이지(선투자)::SSS급 괴물 사냥꾼::110995 || 카카오페이지(창작지원금)::SSS급 괴물 사냥꾼::110995,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,윌라(전자책),골때리는엄마들,7,골 때리는 엄마들 1 | 골 때리는 엄마들 2 | 골 때리는 엄마들 3 | 골 때리는 엄마들 4 | 골 때리는 엄마들 5 | 골 때리는 엄마들 6,,303876::[CP웹툰] 골 때리는 엄마들::IP프로듀싱팀::노종아,리디북스(이벤트)::109322 || 네이버_장르(광고수익)::109322 || 알라딘(소설)(1068659313)::109322 || 블라이스 셀렉트::109322 || 리디북스(소설)::109322,리디북스(이벤트)::골 때리는 엄마들::109322 || 네이버_장르(광고수익)::골 때리는 엄마들::109322 || 알라딘(소설)(1068659313)::골 때리는 엄마들::109322 || 블라이스 셀렉트::골 때리는 엄마들::109322 || 리디북스(소설)::골 때리는 엄마들::109322,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
