schema_version,platform,source_file,source_sheet,source_row_no,schema_status,row_status,title_present,author_present,sale_type,external_work_id,gross_sales_amount,settlement_base_amount_candidate_calc,settlement_amount_candidate_payout,offset_payment_fee_amount,offset_event_fee_amount,used_coin_count,cancel_coin_count,amount_rule_status,match_status,s2_projection_status,validation_issues
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,89,parsed,data,True,True,소설,,900,900,630,0,0,9,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,90,parsed,data,True,True,소설,,9000,9000,6300,0,0,90,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,91,parsed,data,True,True,소설,,900,900,630,0,0,9,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,92,parsed,data,True,True,소설,,1800,1800,1260,0,0,18,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,93,parsed,data,True,True,소설,,5400,5400,3780,0,0,54,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,94,parsed,data,True,True,소설,,7200,7200,5040,0,0,72,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,95,parsed,data,True,True,소설,,1800,1800,1260,0,0,18,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,96,parsed,data,True,True,소설,,900,900,630,0,0,9,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,97,parsed,data,True,True,소설,,1800,1800,1260,0,0,18,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,98,parsed,data,True,True,소설,,4500,4500,3150,0,0,45,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
