청구정산마스터ID,계약ID,판매채널ID,판매채널명,대표콘텐츠명,정제_대표콘텐츠명,청구정산상태,승인상태,거래처명,계약명,계약종료일,계약콘텐츠수,담당자,담당부서,분리사유
601031,84501,1107,블라이스 셀렉트,메디컬 환생(외부유통),메디컬환생,운영중,승인,주식회사 밀리의서재,20260303_사장님과 금비서_주식회사 밀리의서재,2026-02-28,1,이혜정,Sql Error,청구정산 후보
601030,84501,1107,블라이스 셀렉트,살인귀의 아이를 낳았다,살인귀의아이를낳았다,운영중,승인,주식회사 밀리의서재,20260303_사장님과 금비서_주식회사 밀리의서재,2026-02-28,1,이혜정,Sql Error,청구정산 후보
601029,84501,1107,블라이스 셀렉트,"반했어요, 대리님 [개정판]",반했어요대리님,운영중,승인,주식회사 밀리의서재,20260303_사장님과 금비서_주식회사 밀리의서재,2026-02-28,1,이혜정,Sql Error,청구정산 후보
601028,84501,1107,블라이스 셀렉트,"반했어요, 대리님",반했어요대리님,운영중,승인,주식회사 밀리의서재,20260303_사장님과 금비서_주식회사 밀리의서재,2026-02-28,1,이혜정,Sql Error,청구정산 후보
601027,84501,1107,블라이스 셀렉트,오사카,오사카,운영중,승인,주식회사 밀리의서재,20260303_사장님과 금비서_주식회사 밀리의서재,2026-02-28,1,이혜정,Sql Error,청구정산 후보
601026,84501,1107,블라이스 셀렉트,사장님과 금비서,사장님과금비서,운영중,승인,주식회사 밀리의서재,20260303_사장님과 금비서_주식회사 밀리의서재,2026-02-28,1,이혜정,Sql Error,청구정산 후보
601025,84472,323,중국-빌리빌리(봄툰B2BC),원룸 조교님 (CN),원룸조교님,운영중,승인,"Shanghai Hehehe Culture Communication Co., Ltd.","20251130_원룸 조교님 (CN)_Shanghai Hehehe Culture Communication Co., Ltd.",2025-11-30,1,이한별,해외사업팀,청구정산 후보
601023,84441,31,카카오페이지(선투자),<전설급 영웅은 아카데미 우등생> 및 카카오페이지 서비스 작품 일체,전설급영웅은아카데미우등생및카카오페이지서비스작품일체,운영중,승인,주식회사 카카오엔터테인먼트,20260225_<전설급 영웅은 아카데미 우등생> 및 카카오페이지 서비스 작품 일체_주식회사 카카오엔터테인먼트,2026-02-25,1,천승민,소설편집팀,청구정산 후보
601022,84239,1298,중국-텐센트,메디컬 환생(CN),메디컬환생,운영중,승인,텐센트,20250801_메디컬 환생(CN)_텐센트,2025-08-01,1,이한별,해외사업팀,청구정산 후보
601021,84204,1103,[IP프듀] 윌라(인플루엔셜),"[CP오디오] 그렇게, 그 괴물과 두 번 결혼했다(소설)",그렇게그괴물과두번결혼했다,운영중,승인,인플루엔셜,"20260223_[CP오디오] 그렇게, 그 괴물과 두 번 결혼했다(소설)_인플루엔셜",2026-02-12,1,노종아,IP프로듀싱팀,청구정산 후보
601020,84200,35,네이버_연재,[정산정보없음]_김 대리는 인생이 너무 가볍다,김대리는인생이너무가볍다,운영중,승인,네이버웹툰 유한회사,20260220_김 대리는 인생이 너무 가볍다_네이버웹툰 유한회사,2026-02-20,1,윤혜리,소설유통팀,청구정산 후보
601019,84138,31,카카오페이지(선투자),강동호 카카오 선투자 25차,강동호카카오선투자차,운영중,승인,주식회사 카카오엔터테인먼트,20260219_강동호 카카오 선투자 25차_주식회사 카카오엔터테인먼트,2026-02-19,1,홍지표,소설편집팀,청구정산 후보
601018,84127,1106,밀리의 서재,착한 여친,착한여친,운영중,승인,주식회사 밀리의서재,20260213_남노_주식회사 밀리의서재,2025-02-05,1,박민지,Sql Error,청구정산 후보
601017,84127,1106,밀리의 서재,남노,남노,운영중,승인,주식회사 밀리의서재,20260213_남노_주식회사 밀리의서재,2025-02-05,1,박민지,Sql Error,청구정산 후보
601016,84047,34,네이버_연재(광고수익),[정산정보없음]_천재 배우가 청소를 잘함,천재배우가청소를잘함,운영중,승인취소,네이버웹툰 유한회사,20260210_천재 배우가 청소를 잘함_네이버웹툰 유한회사,2026-02-10,1,홍지표,소설편집팀,청구정산 후보
601015,84047,35,네이버_연재,[정산정보없음]_천재 배우가 청소를 잘함,천재배우가청소를잘함,운영중,승인,네이버웹툰 유한회사,20260210_천재 배우가 청소를 잘함_네이버웹툰 유한회사,2026-02-10,1,홍지표,소설편집팀,청구정산 후보
601014,83966,444,MBN,지미스 홀,지미스홀,운영중,승인,(주)매일방송,20260205_그레이스 오브 모나코외8_(주)매일방송,2026-01-28,1,이희연,Sql Error,청구정산 후보
601013,83966,444,MBN,네이든,네이든,운영중,승인,(주)매일방송,20260205_그레이스 오브 모나코외8_(주)매일방송,2026-01-28,1,이희연,Sql Error,청구정산 후보
601012,83966,444,MBN,로즈,로즈,운영중,승인,(주)매일방송,20260205_그레이스 오브 모나코외8_(주)매일방송,2026-01-28,1,이희연,Sql Error,청구정산 후보
