판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제_콘텐츠명,판매채널ID,판매채널명,그룹콘텐츠ID,그룹콘텐츠명,플랫폼콘텐츠ID,콘텐츠형태,콘텐츠상태,최초연재일,담당자,담당부서,정산시작여부,제외사유
128602,111583,구원이거나 속박이거나,구원이거나속박이거나,1,봄툰KR(1068149784),458366,구원이거나속박이거나,16135,소설,완결,2020-12-09,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128648,127366,야해(夜海),야해,1,봄툰KR(1068149784),470747,야해(夜海),22601,소설,완결,2022-04-28,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128652,127370,빛의 주인,빛의주인,1,봄툰KR(1068149784),470750,빛의주인,22784,소설,완결,2022-04-28,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128752,127469,그 배우에게는 비밀이 있다,그배우에게는비밀이있다,1,봄툰KR(1068149784),538022,엠스토리허브,36314,소설,완결,2024-06-24,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128882,127591,늑대의 심장,늑대의심장,1,봄툰KR(1068149784),470919,늑대의심장,13985,소설,완결,2020-06-02,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128898,127607,가지고 싶은 것,가지고싶은것,1,봄툰KR(1068149784),470932,가지고싶은것,15683,소설,완결,2020-10-22,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128968,127676,연착 (戀着),연착,1,봄툰KR(1068149784),470991,연착,23667,소설,완결,2022-07-07,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
129156,127856,지옥의 끝에서,지옥의끝에서,1,봄툰KR(1068149784),462954,지옥의끝에서,6798,소설,완결,2018-04-19,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
129275,127972,단 하나의 소원,단하나의소원,1,봄툰KR(1068149784),471218,단하나의소원,22844,소설,완결,2022-05-08,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
129527,128210,함부로 다정한 너,함부로다정한너,1,봄툰KR(1068149784),471397,함부로다정한너,15242,소설,완결,2020-10-06,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
129542,128225,눈을 가린 밤,눈을가린밤,1,봄툰KR(1068149784),471412,눈을가린밤,16778,소설,완결,2021-02-08,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
129701,128382,키스 더 시크릿,키스더시크릿,1,봄툰KR(1068149784),464485,도서출판가하,36149,소설,완결,2024-06-19,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
129798,128471,개구리 왕자,개구리왕자,1,봄툰KR(1068149784),471589,개구리왕자,6799,소설,완결,2018-04-23,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
129906,128578,흔한 빙의물인 줄 알았다,흔한빙의물인줄알았다,1,봄툰KR(1068149784),471687,흔한빙의물인줄알았다,24831,소설,완결,2022-10-04,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130128,128791,제인과 존슨 저택의 비밀,제인과존슨저택의비밀,1,봄툰KR(1068149784),471836,제인과존슨저택의비밀,13659,소설,완결,2020-04-24,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130138,114972,이 비가 그치면,이비가그치면,1,봄툰KR(1068149784),457762,[카카오]이비가그치면,15799,소설,완결,2020-11-09,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130177,128838,홍염의 덫,홍염의덫,1,봄툰KR(1068149784),471878,홍염의덫,21039,소설,완결,2021-12-02,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130430,129076,젖은 달,젖은달,1,봄툰KR(1068149784),472049,젖은달,12614,소설,완결,2020-01-11,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
130624,129265,대량등록테스트,대량등록테스트,1,봄툰KR(1068149784),472192,대량등록외주,36112,소설,완결,2024-06-20,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
